paper_id,user_id,rating
1401.0828v1,arcolife,
1401.0828v1,caftlegs,
1401.0828v1,AnonymousUser,
1401.0828v1,ArchitSharmacfe32b0780384656,
1401.0828v1,arcolife7a0cc2bd622c4127,
1401.0828v1,arcshams,
1401.0828v1,ArchitSharma,
1010.5976v1,arcolife,
1010.5976v1,caftlegs,
1010.5976v1,AnonymousUser,
1010.5976v1,ArchitSharmacfe32b0780384656,
1010.5976v1,arcolife7a0cc2bd622c4127,
1010.5976v1,arcshams,
1010.5976v1,ArchitSharma,
0706.0750v2,arcolife,
0706.0750v2,caftlegs,
0706.0750v2,AnonymousUser,
0706.0750v2,ArchitSharmacfe32b0780384656,
0706.0750v2,arcolife7a0cc2bd622c4127,
0706.0750v2,arcshams,
0706.0750v2,ArchitSharma,
1103.4289v1,arcolife,
1103.4289v1,caftlegs,
1103.4289v1,AnonymousUser,
1103.4289v1,ArchitSharmacfe32b0780384656,
1103.4289v1,arcolife7a0cc2bd622c4127,
1103.4289v1,arcshams,
1103.4289v1,ArchitSharma,
0611347v1,arcolife,
0611347v1,caftlegs,
0611347v1,AnonymousUser,
0611347v1,ArchitSharmacfe32b0780384656,
0611347v1,arcolife7a0cc2bd622c4127,
0611347v1,arcshams,
0611347v1,ArchitSharma,
1304.3144v1,arcolife,
1304.3144v1,caftlegs,
1304.3144v1,AnonymousUser,
1304.3144v1,ArchitSharmacfe32b0780384656,
1304.3144v1,arcolife7a0cc2bd622c4127,
1304.3144v1,arcshams,
1304.3144v1,ArchitSharma,
9809193v1,arcolife,
9809193v1,caftlegs,
9809193v1,AnonymousUser,
9809193v1,ArchitSharmacfe32b0780384656,
9809193v1,arcolife7a0cc2bd622c4127,
9809193v1,arcshams,
9809193v1,ArchitSharma,
1310.0361v1,arcolife,
1310.0361v1,caftlegs,
1310.0361v1,AnonymousUser,
1310.0361v1,ArchitSharmacfe32b0780384656,
1310.0361v1,arcolife7a0cc2bd622c4127,
1310.0361v1,arcshams,
1310.0361v1,ArchitSharma,
0207047v3,arcolife,
0207047v3,caftlegs,
0207047v3,AnonymousUser,
0207047v3,ArchitSharmacfe32b0780384656,
0207047v3,arcolife7a0cc2bd622c4127,
0207047v3,arcshams,
0207047v3,ArchitSharma,
9509004v1,arcolife,
9509004v1,caftlegs,
9509004v1,AnonymousUser,
9509004v1,ArchitSharmacfe32b0780384656,
9509004v1,arcolife7a0cc2bd622c4127,
9509004v1,arcshams,
9509004v1,ArchitSharma,
0008244v1,arcolife,
